id,akas,checksum,country_name,created_at,description,games,gender,mug_shot,name,slug,species,updated_at,url
13116,,bb6801a9-2b8f-6843-1964-2f440f1b8e48,,1555977600,,[103020],,,Nuclear Launch Silo,nuclear-launch-silo,,1555977600,https://www.igdb.com/characters/nuclear-launch-silo
14447,,ac16307c-58d1-37cd-cda7-490f9345bb7b,,1562198400,,[75242],,,Agent Carson,agent-carson,,1562198400,https://www.igdb.com/characters/agent-carson
504,,56dfd9a7-5cfa-ee91-14e5-46a493843313,,1397865600,,"[2765, 2911]",,,Gary,gary,,1501632000,https://www.igdb.com/characters/gary
2692,,e32722d2-9798-5a72-b240-fdcbe43fabc5,,1414800000,,[41],,,O,o,,1458518400,https://www.igdb.com/characters/o
6715,,51e57c03-5b7e-fc22-c838-1f7dfe753e92,,1449878400,,[1958],,,Thophile Paddington,thophile-paddington,,1449878400,https://www.igdb.com/characters/thophile-paddington
10723,,867f2aac-a30b-b2c7-ec18-d544984e45cc,,1501632000,,[2911],,,Cav Vuarnet,cav-vuarnet,,1501632000,https://www.igdb.com/characters/cav-vuarnet
10729,,039e3331-b415-ed49-db45-373ad382662d,,1501632000,,[2911],,,Char Donay,char-donay,,1501632000,https://www.igdb.com/characters/char-donay
10725,,4890a4bf-937b-28e0-9c80-960bbb1e2eb8,,1501632000,,[2911],,,Mer Lowe,mer-lowe,,1501632000,https://www.igdb.com/characters/mer-lowe
5144,,3d6292b3-3ad5-c02f-943c-83cb0bcccb36,,1433721600,,[418],,,Dona,dona,,1433721600,https://www.igdb.com/characters/dona
10727,,120702f8-ec52-c64a-2cf3-c8fdef06ae33,,1501632000,,[2911],,,Art,art,,1501632000,https://www.igdb.com/characters/art
14917,,1f1b3457-e847-750e-a412-428f1d8126cb,,1572307200,,[26472],,,Evrart Claire,evrart-claire,,1572307200,https://www.igdb.com/characters/evrart-claire
14915,,b16a929a-5ae8-fb0c-4536-01261f7c6924,,1572307200,,[26472],,,Don't Call Abigail,dont-call-abigail,,1572307200,https://www.igdb.com/characters/dont-call-abigail
14440,,e1a8558c-43c2-3f4a-ca05-f82165f922c7,,1562198400,,[10760],,,Abigail Creese,abigail-creese,,1562198400,https://www.igdb.com/characters/abigail-creese
15031,,44303579-c995-4581-58db-f790a3b244aa,,1573084800,,[26845],,,Hubert,hubert,,1573084800,https://www.igdb.com/characters/hubert
7238,,bfd8448b-42f3-b444-8ed7-7af534bb273d,,1456185600,,[378],,,Boris,boris,,1502236800,https://www.igdb.com/characters/boris
12335,,a7467209-203b-bc37-b39e-a594c3a432da,,1547337600,,[25076],,,Karen Jones,karen-jones,,1547337600,https://www.igdb.com/characters/karen-jones
14448,,118f240d-2b8c-acf9-d5c3-63e309203ce8,,1562198400,,[75242],,,Ryan Marks,ryan-marks,,1562198400,https://www.igdb.com/characters/ryan-marks
11454,,8ade42c6-5693-5a21-72a9-96cdb3369e33,,1517011200,,"[14879, 55028]",,,Soldier/Civillians/Others,soldier-slash-civillians-slash-others,,1559260800,https://www.igdb.com/characters/soldier-slash-civillians-slash-others
